Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2014-03-31,625740000.0,-43572000.0,582168000.0,-390606000.0,-103227000.0,-287379000.0,,191562000.0,-10676000.0,-11613000.0,180886000,,180886000,-112581000.0,68305000,,68305000,68305000,648133000.0,801773000.0,86545000.0,1871049000.0,600864000.0,534689000.0,253794000.0,1389347000.0,3260396000,237935000.0,1060000.0,305068000.0,530053000.0,744080000.0,1049148000,2237032000.0,,-27249000.0,2211248000.0,3260396000,68305000.0,11530000.0,79701000.0,-106009000.0,-92529000.0,-15550000.0,,2070000.0,53527000.0,-64822000.0,-171409000.0,,-236231000.0,,-262000.0,55042000.0,108954000.0,-73750000,2014-03-31,303.17999267578125,306.4700012207031,296.6099853515625,300.2799987792969,300.2799987792969,1061300.0
2014-06-30,665700000.0,-46379000.0,619321000.0,-391231000.0,-96730000.0,-294501000.0,,228090000.0,-19287000.0,-10177000.0,208803000,,208803000,-112452000.0,96351000,,96351000,96351000,816909000.0,664075000.0,109897000.0,1918695000.0,707321000.0,550818000.0,279244000.0,1537383000.0,3456078000,283385000.0,1060000.0,351578000.0,516786000.0,735658000.0,1087236000,2342941000.0,-43848000.0,65486000.0,2368842000.0,3456078000,96351000.0,13016000.0,70076000.0,156969000.0,177305000.0,-21745000.0,,1409000.0,336412000.0,-70873000.0,-47250000.0,,-118123000.0,,-61397000.0,8015000.0,-80012000.0,138277000,2014-06-30,277.29000854492193,284.9200134277344,273.98001098632807,282.4700012207031,282.4700012207031,1330700.0
2014-09-30,725788000.0,-55593000.0,670195000.0,-481731000.0,-144003000.0,-337728000.0,,188464000.0,-6641000.0,-9232000.0,181823000,,181823000,-98448000.0,83375000,,83375000,83375000,1042204000.0,673915000.0,120317000.0,2200512000.0,818967000.0,453443000.0,266497000.0,1538907000.0,3739419000,337976000.0,1252000.0,410200000.0,564062000.0,777431000.0,1187631000,2423536000.0,-43849000.0,145206000.0,2551788000.0,3739419000,83375000.0,14005000.0,64054000.0,2887000.0,-31134000.0,-13622000.0,,47643000.0,164321000.0,-79769000.0,-43299000.0,,-123068000.0,,-276000.0,17747000.0,5166000.0,46419000,2014-09-30,355.7900085449219,361.70001220703125,353.1099853515625,360.5199890136719,360.5199890136719,1003900.0
2014-12-31,802329000.0,-59474000.0,742855000.0,-527052000.0,-175307000.0,-351745000.0,,215803000.0,-26080000.0,-6350000.0,189723000,,189723000,-99628000.0,90095000,,90095000,90095000,900480000.0,739379000.0,128861000.0,2084759000.0,974309000.0,460154000.0,318450000.0,1752913000.0,3837672000,483489000.0,,654660000.0,457711000.0,632761000.0,1287421000,2450886000.0,-169530000.0,216644000.0,2550251000.0,3837672000,90095000.0,14135000.0,132214000.0,-38269000.0,-88569000.0,-6030000.0,,56330000.0,198175000.0,-117542000.0,174187000.0,,56645000.0,,-159799000.0,45241000.0,-252655000.0,2165000,2014-12-31,410.5700073242188,416.989990234375,408.5700073242188,410.25,410.25,759900.0
2015-03-31,869612000.0,-83955000.0,785657000.0,-502104000.0,-158991000.0,-343113000.0,,283553000.0,-7030000.0,-7210000.0,276523000,,276523000,-200502000.0,76021000,,76021000,76021000,742164000.0,1015962000.0,133863000.0,2310714000.0,1110597000.0,483305000.0,293957000.0,1887859000.0,4198573000,462762000.0,,536134000.0,472476000.0,691009000.0,1227143000,2812678000.0,-181817000.0,292665000.0,2971430000.0,4198573000,76021000.0,16027000.0,75311000.0,-269086000.0,-329746000.0,-5434000.0,,66094000.0,-101727000.0,-114162000.0,-15319000.0,,-129481000.0,,-9948000.0,76273000.0,90396000.0,-140812000,2015-03-31,456.2300109863281,464.5199890136719,450.0199890136719,451.4800109863281,451.4800109863281,884200.0
2015-06-30,998617000.0,-88840000.0,909777000.0,-564918000.0,-174588000.0,-390330000.0,,344859000.0,-16863000.0,-18516000.0,327996000,,327996000,-133353000.0,194643000,,194643000,194643000,604248000.0,1071665000.0,171266000.0,2283341000.0,1326112000.0,589595000.0,327922000.0,2243629000.0,4526970000,529505000.0,,601542000.0,388047000.0,586970000.0,1188512000,3119076000.0,-287079000.0,487308000.0,3338458000.0,4526970000,194643000.0,15298000.0,96653000.0,-48763000.0,-89007000.0,-40157000.0,,80401000.0,257831000.0,-239893000.0,-131756000.0,,-371649000.0,,-107273000.0,39552000.0,-3535000.0,-117353000,2015-06-30,512.2000122070311,514.7999877929689,505.6199951171875,510.1300048828125,510.1300048828125,635800.0
2015-09-30,1137422000.0,-109083000.0,1028339000.0,-635917000.0,-209993000.0,-425924000.0,,392422000.0,867000.0,-1273000.0,393289000,,393289000,-182891000.0,210398000,,210398000,210398000,895642000.0,1088207000.0,190668000.0,2675640000.0,1475123000.0,681326000.0,350826000.0,2507275000.0,5182915000,577428000.0,,734990000.0,394867000.0,1151058000.0,1886048000,2880217000.0,-288777000.0,697706000.0,3296867000.0,5182915000,210398000.0,20674000.0,97637000.0,564144000.0,-44190000.0,-20663000.0,,628997000.0,892853000.0,-146099000.0,-137072000.0,,-283171000.0,,-2381000.0,34598000.0,-345649000.0,264033000,2015-09-30,460.5799865722656,474.8399963378906,454.9700012207031,465.1400146484375,465.1400146484375,1452200.0
2015-12-31,1098077000.0,-110831000.0,987246000.0,-756164000.0,-294954000.0,-461210000.0,,231082000.0,-3793000.0,12758000.0,227289000,,227289000,-72295000.0,154994000,,154994000,154994000,1045223000.0,1152489000.0,238578000.0,2915095000.0,1594120000.0,632162000.0,467755000.0,2694037000.0,5609132000,644112000.0,0.0,811162000.0,362919000.0,1143133000.0,1954295000,3099634000.0,-306069000.0,852700000.0,3654837000.0,5609132000,154994000.0,22910000.0,120387000.0,-16468000.0,-28478000.0,-45571000.0,,57581000.0,281823000.0,-177779000.0,54479000.0,,-123300000.0,,-20845000.0,55935000.0,-4008000.0,154515000,2015-12-31,542.6199951171875,550.6599731445311,542.6199951171875,542.8699951171875,542.8699951171875,310500.0
2016-03-31,1200849000.0,-111752000.0,1089097000.0,-759789000.0,-289677000.0,-470112000.0,,329308000.0,843000.0,-2640000.0,330151000,,330151000,-148766000.0,181385000,,181385000,181385000,849179000.0,1450572000.0,303294000.0,3133379000.0,1666391000.0,555210000.0,549480000.0,2771081000.0,5904460000,733276000.0,,919724000.0,362230000.0,1219654000.0,2139378000,3049760000.0,-307478000.0,1018436000.0,3765082000.0,5904460000,181385000.0,22977000.0,66422000.0,-225795000.0,-397428000.0,-62263000.0,,233896000.0,44989000.0,-104094000.0,60409000.0,,-43685000.0,,-2337000.0,39304000.0,-206192000.0,-204888000,2016-03-31,361.0199890136719,364.8399963378906,358.6300048828125,360.4400024414063,360.4400024414063,930100.0
2016-06-30,1212629000.0,-69033000.0,1143596000.0,-851968000.0,-292038000.0,-559930000.0,,291628000.0,628000.0,-1251000.0,292256000,,292256000,-96038000.0,196218000,,196218000,196218000,1045164000.0,1431966000.0,316073000.0,3209225000.0,1772923000.0,589852000.0,632906000.0,2995681000.0,6204906000,759643000.0,,951563000.0,361523000.0,1176837000.0,2128400000,3157051000.0,-316052000.0,1230303000.0,4076506000.0,6204906000,196218000.0,25029000.0,52662000.0,125590000.0,113250000.0,-10625000.0,,22965000.0,399499000.0,-138836000.0,-187174000.0,,-326010000.0,,-11526000.0,24302000.0,-31195000.0,42294000,2016-06-30,349.54998779296875,350.239990234375,344.75,349.2300109863281,349.2300109863281,781000.0
2016-09-30,1220122000.0,-44228000.0,1175894000.0,-813092000.0,-270045000.0,-543047000.0,,362802000.0,3079000.0,-496000.0,365881000,,365881000,-101077000.0,264804000,,264804000,264804000,1408391000.0,1332071000.0,345620000.0,3501689000.0,1872167000.0,777906000.0,676257000.0,3326330000.0,6828019000,714916000.0,,961185000.0,382228000.0,1375587000.0,2336772000,3315091000.0,-316052000.0,1495107000.0,4491247000.0,6828019000,264804000.0,27839000.0,109495000.0,248891000.0,108099000.0,-26818000.0,,167610000.0,651029000.0,-118556000.0,-287297000.0,,-405853000.0,,4445000.0,26171000.0,28675000.0,273851000,2016-09-30,396.4400024414063,404.9800109863281,390.55999755859375,402.0199890136719,402.0199890136719,1114300.0
2016-12-31,1226800000.0,-74687000.0,1152113000.0,-805151000.0,-325940000.0,-479211000.0,,346962000.0,-5450000.0,-2813000.0,341512000,,341512000,-88419000.0,253093000,,253093000,253093000,1038684000.0,1343368000.0,399356000.0,3180188000.0,2083421000.0,864260000.0,845597000.0,3793278000.0,6973466000,879096000.0,129557000.0,1241495000.0,351569000.0,1282726000.0,2524221000,3030103000.0,-316240000.0,1748222000.0,4449245000.0,6973466000,253093000.0,28855000.0,16321000.0,92114000.0,32279000.0,-50094000.0,,109929000.0,390383000.0,-150414000.0,-120838000.0,,-271252000.0,,-31182000.0,36923000.0,-491788000.0,-372657000,2016-12-30,375.2999877929688,375.2999877929688,364.9200134277344,367.0899963378906,367.0899963378906,614800.0
2017-03-31,1318991000.0,-84168000.0,1234823000.0,-804281000.0,-296846000.0,-507435000.0,,430542000.0,1747000.0,-7501000.0,432289000,,432289000,-183358000.0,248931000,,248931000,248931000,1307084000.0,1339794000.0,466576000.0,3669263000.0,2277029000.0,967695000.0,903378000.0,4148102000.0,7817365000,1061777000.0,7200000.0,1308271000.0,700407000.0,1643073000.0,2951344000,3190992000.0,-316240000.0,1997153000.0,4866021000.0,7817365000,248931000.0,38115000.0,96757000.0,-27902000.0,-137928000.0,-69744000.0,,179770000.0,355901000.0,-50461000.0,-89682000.0,,-140143000.0,,44139000.0,16673000.0,60812000.0,276570000,2017-03-31,385.75,390.0,382.6000061035156,387.510009765625,387.510009765625,570300.0
2017-06-30,1470116000.0,-102921000.0,1367195000.0,-816883000.0,-306908000.0,-509975000.0,,550312000.0,-24462000.0,-5401000.0,525850000,,525850000,-138106000.0,387744000,,387744000,387744000,1267850000.0,1420403000.0,554320000.0,3860051000.0,2261702000.0,1064677000.0,919943000.0,4246322000.0,8106373000,716364000.0,0.0,1029017000.0,701173000.0,1556618000.0,2585635000,3449733000.0,-316240000.0,2384897000.0,5520738000.0,8106373000,387744000.0,35126000.0,138184000.0,-591624000.0,-94999000.0,-81800000.0,,-414825000.0,-30570000.0,-54849000.0,-115560000.0,,-170409000.0,,-7064000.0,172020000.0,133519000.0,-67460000,2017-06-30,507.4599914550781,508.0,490.8900146484375,491.1400146484375,491.1400146484375,1267500.0
2017-09-30,1500673000.0,-104232000.0,1396441000.0,-836515000.0,-306766000.0,-529749000.0,,559926000.0,5679000.0,-6182000.0,565605000,,565605000,-177288000.0,388317000,,388317000,388317000,1378944000.0,1532693000.0,641588000.0,4135742000.0,2274529000.0,1327303000.0,963641000.0,4565473000.0,8701215000,818426000.0,0.0,1138628000.0,702317000.0,1510994000.0,2649622000,3570784000.0,-316240000.0,2773214000.0,6051593000.0,8701215000,388317000.0,37719000.0,80977000.0,-92181000.0,-126902000.0,-84101000.0,,118822000.0,414832000.0,-59653000.0,-299231000.0,,-358884000.0,,0.0,38199000.0,-8196000.0,47752000,2017-09-29,435.2799987792969,450.2300109863281,435.2799987792969,447.1199951171875,447.1199951171875,909600.0
2017-12-31,1582420000.0,-105779000.0,1476641000.0,-937821000.0,-409880000.0,-527941000.0,,538820000.0,15936000.0,-6016000.0,554756000,,554756000,-381248000.0,173508000,,173508000,173508000,1409500000.0,1538600000.0,726100000.0,4335000000.0,2358600000.0,1486500000.0,584200000.0,4429300000.0,8764300000,178200000.0,,1135500000.0,703500000.0,1484700000.0,2620200000,3513000000.0,-316200000.0,2946700000.0,6144100000.0,8764300000,173508000.0,34540000.0,573682000.0,-214793000.0,-2871000.0,-78555000.0,,-133367000.0,566937000.0,-107637000.0,-228127000.0,,-335764000.0,,25000.0,13308000.0,-210535000.0,20638000,2017-12-29,381.8699951171875,382.6499938964844,375.0,375.9599914550781,375.9599914550781,624100.0
2018-03-31,1511485000.0,-114898000.0,1396587000.0,-829356000.0,-330770000.0,-498586000.0,,567231000.0,18167000.0,-6439000.0,585398000,,585398000,-107418000.0,477980000,,477980000,477980000,1624952000.0,1531936000.0,820397000.0,4544732000.0,2394727000.0,1821985000.0,611252000.0,4827964000.0,9372696000,207611000.0,,1265740000.0,704645000.0,1539312000.0,2805052000,3611711000.0,-316240000.0,3287767000.0,6567644000.0,9372696000,477980000.0,36358000.0,71863000.0,32542000.0,30408000.0,-88760000.0,,90894000.0,618743000.0,-79375000.0,-346037000.0,,-425412000.0,,0.0,13427000.0,13427000.0,206758000,2018-03-29,340.82000732421875,346.8699951171875,338.32000732421875,344.3599853515625,344.3599853515625,1032800.0
2018-06-30,1608022000.0,-91661000.0,1516361000.0,-894173000.0,-364884000.0,-529289000.0,,622188000.0,33886000.0,-6918000.0,656074000,,656074000,-104662000.0,551412000,,551412000,551412000,1683518000.0,1534324000.0,928553000.0,4814917000.0,2461614000.0,2044703000.0,630746000.0,5137063000.0,9951980000,171906000.0,,1331190000.0,705903000.0,1434364000.0,2765554000,3712711000.0,-353852000.0,3839179000.0,7186426000.0,9951980000,551412000.0,33642000.0,46887000.0,-237376000.0,-95315000.0,-93340000.0,,-48721000.0,394565000.0,-112017000.0,-372956000.0,,-484973000.0,,0.0,20646000.0,-11207000.0,-101615000,2018-06-29,343.6000061035156,349.239990234375,343.1499938964844,344.989990234375,344.989990234375,1205600.0
2018-09-30,1663496000.0,-110369000.0,1553127000.0,-926204000.0,-369232000.0,-556972000.0,,626923000.0,8938000.0,-7494000.0,635861000,,635861000,-41206000.0,594655000,,594655000,594655000,2192152000.0,1665737000.0,1039679000.0,5719583000.0,2524446000.0,1873569000.0,688015000.0,5086030000.0,10805613000,172361000.0,,1417230000.0,707203000.0,1520083000.0,2937313000,3841286000.0,-396371000.0,4433904000.0,7868300000.0,10805613000,594655000.0,35441000.0,65687000.0,-242822000.0,-163698000.0,-99524000.0,,20400000.0,452961000.0,-106246000.0,-170462000.0,,-276708000.0,,0.0,53335000.0,-6286000.0,169967000,2018-09-28,405.9200134277344,410.0,400.2699890136719,404.0400085449219,404.0400085449219,841600.0
2018-12-31,362597000.0,-100572000.0,262025000.0,456033000.0,-62314000.0,116047000.0,,718058000.0,-41891000.0,-7349000.0,676167000,,676167000,144186000.0,820353000,,820353000,820353000,2809900000.0,1723700000.0,1151200000.0,6447600000.0,2575800000.0,1755000000.0,956100000.0,5286900000.0,11734500000,218200000.0,,1442800000.0,708500000.0,1534400000.0,2977200000,3911700000.0,-396400000.0,5254300000.0,8757300000.0,11734500000,820353000.0,42759000.0,115063000.0,-249344000.0,-7795000.0,-106276000.0,,-135273000.0,728831000.0,-85462000.0,-180445000.0,,-275907000.0,,0.0,22692000.0,-73034000.0,379890000,2018-12-31,364.7300109863281,374.75,364.6400146484375,373.5,373.5,680200.0
