Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2011-12-31,2576000000.0,,2576000000.0,-1708000000.0,-594000000.0,-499000000.0,-626000000.0,868000000.0,14000000.0,-61000000.0,882000000,-88000000.0,794000000,-273000000.0,521000000,-14000000.0,507000000,507000000,7058000000.0,1379000000.0,,9305000000.0,24774000000.0,,7038000000.0,31812000000.0,41117000000,1471000000.0,3811000000.0,6738000000.0,5969000000.0,12949000000.0,19687000000,3547000000.0,,16308000000.0,21430000000.0,41117000000,521000000.0,626000000.0,425000000.0,441000000.0,,,,,2013000000.0,-1903000000.0,,,-2175000000.0,-69000000.0,530000000.0,-345000000.0,118000000.0,-63000000,2011-12-30,62.0,62.81000137329102,61.95000076293945,62.0,51.18342971801758,1522800.0
2012-03-31,2497000000.0,,2497000000.0,-1687000000.0,-493000000.0,-514000000.0,-680000000.0,810000000.0,-97000000.0,-87000000.0,713000000,-102000000.0,611000000,-197000000.0,414000000,-21000000.0,393000000,393000000,7110000000.0,1107000000.0,,9078000000.0,26561000000.0,,6966000000.0,33527000000.0,42605000000,1079000000.0,4120000000.0,6262000000.0,6719000000.0,14387000000.0,20649000000,3604000000.0,,16621000000.0,21956000000.0,42605000000,414000000.0,680000000.0,254000000.0,-349000000.0,,,,,999000000.0,-2088000000.0,,,-1867000000.0,-80000000.0,1107000000.0,20000000.0,1048000000.0,273000000,2012-03-30,71.05999755859375,71.33999633789062,70.11000061035156,71.12000274658203,58.87793350219727,3278000.0
2012-06-30,2559000000.0,,2559000000.0,-1582000000.0,-385000000.0,-513000000.0,-684000000.0,977000000.0,-143000000.0,-99000000.0,834000000,-100000000.0,734000000,-257000000.0,477000000,,477000000,477000000,7045000000.0,1005000000.0,,9217000000.0,27241000000.0,,7012000000.0,34253000000.0,43470000000,1510000000.0,2148000000.0,4961000000.0,8455000000.0,16284000000.0,21245000000,3644000000.0,,17016000000.0,22225000000.0,43470000000,477000000.0,684000000.0,-83000000.0,363000000.0,,,,,1441000000.0,-1315000000.0,,,-977000000.0,-82000000.0,-140000000.0,2000000.0,-220000000.0,273000000,2012-06-29,58.15999984741211,58.22999954223633,57.22999954223633,57.9900016784668,48.17546081542969,4210500.0
2012-09-30,1865000000.0,,1865000000.0,-1692000000.0,-463000000.0,-513000000.0,-716000000.0,173000000.0,-102000000.0,-110000000.0,71000000,-1232000000.0,-1161000000,442000000.0,-719000000,,-719000000,-719000000,7502000000.0,1113000000.0,,9433000000.0,27146000000.0,,6969000000.0,34115000000.0,43548000000,1485000000.0,2780000000.0,5496000000.0,8455000000.0,16271000000.0,21767000000,3685000000.0,,16217000000.0,21781000000.0,43548000000,-719000000.0,716000000.0,1288000000.0,80000000.0,,,,,1365000000.0,-1428000000.0,,,-2648000000.0,-80000000.0,600000000.0,3000000.0,527000000.0,-763000000,2012-09-28,60.540000915527344,61.04999923706055,60.04999923706055,60.5,50.42702865600586,2822000.0
2012-12-31,2580000000.0,,2580000000.0,-1967000000.0,-597000000.0,-534000000.0,-731000000.0,613000000.0,-49000000.0,-74000000.0,564000000,-1065000000.0,-501000000,144000000.0,-357000000,0.0,-357000000,-357000000,6980000000.0,1245000000.0,,8971000000.0,27316000000.0,,7039000000.0,34355000000.0,43326000000,1451000000.0,3189000000.0,6003000000.0,8455000000.0,16045000000.0,22048000000,3729000000.0,,15778000000.0,21278000000.0,43326000000,-357000000.0,731000000.0,840000000.0,-75000000.0,,,,,1139000000.0,-1926000000.0,,,-2105000000.0,-82000000.0,354000000.0,2000000.0,274000000.0,-701000000,2012-12-31,50.93000030517578,52.11000061035156,50.88999938964844,52.040000915527344,43.54158020019531,3970100.0
2013-03-31,1971000000.0,,1971000000.0,-1764000000.0,-513000000.0,-525000000.0,-704000000.0,207000000.0,-105000000.0,-103000000.0,102000000,-2064000000.0,-1962000000,623000000.0,-1339000000,,-1339000000,-1339000000,6501000000.0,1369000000.0,,8403000000.0,26382000000.0,,6797000000.0,33179000000.0,41582000000,1409000000.0,4197000000.0,6800000000.0,7955000000.0,15074000000.0,21874000000,3758000000.0,,14358000000.0,19708000000.0,41582000000,-1339000000.0,704000000.0,1789000000.0,-155000000.0,,,,,999000000.0,-1897000000.0,,,-779000000.0,-81000000.0,508000000.0,,430000000.0,638000000,2013-03-28,57.13999938964844,57.29999923706055,56.34000015258789,56.41999816894531,47.37591552734375,3737300.0
2013-06-30,3088000000.0,,3088000000.0,-1814000000.0,-549000000.0,-559000000.0,-674000000.0,1274000000.0,-103000000.0,-103000000.0,1171000000,-174000000.0,997000000,-314000000.0,683000000,,683000000,683000000,4232000000.0,1538000000.0,,6357000000.0,26925000000.0,,6738000000.0,33663000000.0,40020000000,1197000000.0,2194000000.0,4865000000.0,7956000000.0,15089000000.0,19954000000,3788000000.0,,14952000000.0,20066000000.0,40020000000,683000000.0,674000000.0,27000000.0,97000000.0,,,,,1481000000.0,-1638000000.0,,,-1282000000.0,-89000000.0,-2003000000.0,1000000.0,-2089000000.0,-1912000000,2013-06-28,52.31999969482422,52.45000076293945,51.66999816894531,51.88000106811523,43.73780822753906,3936700.0
2013-09-30,2714000000.0,,2714000000.0,-1844000000.0,-526000000.0,-600000000.0,-691000000.0,870000000.0,-94000000.0,-100000000.0,776000000,-137000000.0,639000000,-210000000.0,429000000,,429000000,429000000,4320000000.0,1520000000.0,,6315000000.0,27962000000.0,,6569000000.0,34531000000.0,40846000000,1269000000.0,2112000000.0,4782000000.0,7956000000.0,15452000000.0,20234000000,3818000000.0,,15292000000.0,20612000000.0,40846000000,429000000.0,691000000.0,464000000.0,18000000.0,,,,,1602000000.0,-1368000000.0,,,-499000000.0,-89000000.0,-82000000.0,0.0,-171000000.0,957000000,2013-09-30,57.97000122070313,57.97999954223633,57.20000076293945,57.7599983215332,48.878173828125,3530700.0
2013-12-31,2624000000.0,,2624000000.0,-1908000000.0,-582000000.0,-584000000.0,-711000000.0,716000000.0,-116000000.0,-111000000.0,600000000,-125000000.0,475000000,-268000000.0,207000000,,207000000,207000000,6066000000.0,1520000000.0,,8005000000.0,28447000000.0,,6425000000.0,34872000000.0,42877000000,1229000000.0,4066000000.0,6655000000.0,7956000000.0,15723000000.0,22378000000,3821000000.0,,15410000000.0,20499000000.0,42877000000,207000000.0,711000000.0,520000000.0,-87000000.0,,,,,1351000000.0,-1436000000.0,,,-1436000000.0,-89000000.0,1938000000.0,2000000.0,1850000000.0,1746000000,2013-12-31,61.84000015258789,62.18999862670898,61.38000106811523,61.86999893188477,52.54625701904297,2336400.0
2014-03-31,3725000000.0,,3725000000.0,-2876000000.0,-1516000000.0,-598000000.0,-739000000.0,849000000.0,-130000000.0,-112000000.0,719000000,-159000000.0,560000000,-231000000.0,329000000,,324000000,324000000,2027000000.0,2580000000.0,,5020000000.0,37429000000.0,,10316000000.0,47745000000.0,52765000000,1581000000.0,3773000000.0,7580000000.0,11739000000.0,20139000000.0,27719000000,3877000000.0,,15644000000.0,25046000000.0,52765000000,329000000.0,739000000.0,606000000.0,-227000000.0,,,,,1447000000.0,-7376000000.0,,,-7319000000.0,-90000000.0,2026000000.0,11000000.0,1844000000.0,-4039000000,2014-03-31,66.0,66.94999694824219,65.62000274658203,66.93000030517578,57.04117965698242,5353400.0
2014-06-30,4510000000.0,,4510000000.0,-3638000000.0,-2195000000.0,-582000000.0,-828000000.0,872000000.0,-220000000.0,-131000000.0,652000000,902000000.0,1554000000,-854000000.0,700000000,,675000000,675000000,1706000000.0,2301000000.0,,4392000000.0,36999000000.0,,9724000000.0,46723000000.0,51115000000,1529000000.0,475000000.0,4679000000.0,11880000000.0,20377000000.0,25056000000,3984000000.0,,16220000000.0,26059000000.0,51115000000,700000000.0,828000000.0,-72000000.0,640000000.0,,,,,2096000000.0,753000000.0,,,753000000.0,-99000000.0,-3158000000.0,72000000.0,-3194000000.0,-321000000,2014-06-30,79.19999694824219,80.62999725341797,79.0199966430664,79.4000015258789,67.88616180419922,2667300.0
2014-09-30,5336000000.0,,5336000000.0,-3420000000.0,-1976000000.0,-584000000.0,-842000000.0,1916000000.0,-120000000.0,-116000000.0,1796000000,-142000000.0,1654000000,-613000000.0,1041000000,,1016000000,1016000000,3408000000.0,2009000000.0,,5973000000.0,35169000000.0,,9697000000.0,44866000000.0,50839000000,1995000000.0,1898000000.0,5994000000.0,10161000000.0,18077000000.0,24071000000,4045000000.0,,17138000000.0,26768000000.0,50839000000,1041000000.0,842000000.0,-606000000.0,285000000.0,,,,,1562000000.0,557000000.0,,,557000000.0,-98000000.0,-293000000.0,9000000.0,-389000000.0,1702000000,2014-09-30,69.38999938964844,69.52999877929689,67.58000183105469,68.18000030517578,58.49159240722656,4124100.0
2014-12-31,7067000000.0,,7067000000.0,-3472000000.0,-1975000000.0,-568000000.0,-910000000.0,3595000000.0,-169000000.0,-167000000.0,3426000000,-3135000000.0,291000000,-670000000.0,-379000000,,-408000000,-408000000,1480000000.0,1959000000.0,,6498000000.0,36296000000.0,,7843000000.0,44139000000.0,50637000000,1400000000.0,1432000000.0,5935000000.0,9830000000.0,18361000000.0,24296000000,4129000000.0,,16631000000.0,26341000000.0,50637000000,-379000000.0,910000000.0,1464000000.0,-990000000.0,,,,,1005000000.0,-2264000000.0,,,-2264000000.0,-99000000.0,-798000000.0,-92000000.0,-655000000.0,-1928000000,2014-12-31,60.38000106811523,62.040000915527344,59.9000015258789,61.209999084472656,52.733299255371094,3712600.0
2015-03-31,3265000000.0,,3265000000.0,-3192000000.0,-1690000000.0,-553000000.0,-930000000.0,73000000.0,-129000000.0,-117000000.0,-56000000,-5568000000.0,-5624000000,2035000000.0,-3589000000,,-3599000000,-3599000000,1858000000.0,1663000000.0,,5806000000.0,31455000000.0,,8081000000.0,39536000000.0,45342000000,1335000000.0,1448000000.0,5560000000.0,10301000000.0,16763000000.0,22323000000,4583000000.0,,12933000000.0,23019000000.0,45342000000,-3589000000.0,930000000.0,3930000000.0,380000000.0,,,,,1651000000.0,-2119000000.0,,,-2119000000.0,-99000000.0,485000000.0,569000000.0,892000000.0,378000000,2015-03-31,59.84000015258789,61.06000137329102,59.540000915527344,60.31000137329102,52.17766189575195,3135500.0
2015-06-30,3393000000.0,,3393000000.0,-3472000000.0,-2075000000.0,-562000000.0,-814000000.0,-79000000.0,-116000000.0,-125000000.0,-195000000,-4284000000.0,-4479000000,1686000000.0,-2793000000,,-2816000000,-2816000000,1725000000.0,1602000000.0,,4730000000.0,27824000000.0,,8052000000.0,35876000000.0,40606000000,1035000000.0,670000000.0,3998000000.0,11375000000.0,16457000000.0,20455000000,4777000000.0,,10018000000.0,20151000000.0,40606000000,-2793000000.0,814000000.0,3377000000.0,-305000000.0,,,,,1093000000.0,-1439000000.0,,,-1439000000.0,-98000000.0,282000000.0,85000000.0,210000000.0,-133000000,2015-06-30,59.61000061035156,59.88000106811523,59.06999969482422,59.4900016784668,51.66254043579102,3291700.0
2015-09-30,3601000000.0,,3601000000.0,-3103000000.0,-1835000000.0,-510000000.0,-744000000.0,498000000.0,-179000000.0,-136000000.0,319000000,-5942000000.0,-5623000000,1714000000.0,-3909000000,,-3507000000,-3507000000,1787000000.0,1318000000.0,,4298000000.0,22775000000.0,,7278000000.0,30053000000.0,34351000000,940000000.0,500000000.0,3501000000.0,11400000000.0,14928000000.0,18429000000,4814000000.0,,6413000000.0,15922000000.0,34351000000,-3909000000.0,744000000.0,4560000000.0,155000000.0,,,,,1550000000.0,-1166000000.0,,,-1166000000.0,-99000000.0,-144000000.0,,-300000000.0,62000000,2015-09-30,36.97000122070313,37.47000122070313,36.0099983215332,37.09000015258789,32.40432357788086,6573600.0
2015-12-31,2886000000.0,-2439000000.0,447000000.0,-2360000000.0,-2054000000.0,1174000000.0,-1534000000.0,-1913000000.0,-359000000.0,-141000000.0,-2272000000,-1860000000.0,-4132000000,778000000.0,-3354000000,,-2974000000,-2974000000,2310000000.0,1105000000.0,,4021000000.0,19068000000.0,,6362000000.0,25430000000.0,29451000000,906000000.0,976000000.0,3295000000.0,12056000000.0,15167000000.0,18462000000,5038000000.0,,1781000000.0,10989000000.0,29451000000,-3354000000.0,1534000000.0,2624000000.0,-216000000.0,,,,,588000000.0,-1063000000.0,,,-1063000000.0,-100000000.0,1208000000.0,0.0,1010000000.0,523000000,2015-12-31,30.989999771118164,32.200000762939446,30.56999969482422,32.0,28.147594451904297,4454100.0
2016-03-31,2126000000.0,,2126000000.0,-2266000000.0,-1260000000.0,-444000000.0,-542000000.0,-140000000.0,-185000000.0,-164000000.0,-325000000,-3360000000.0,-3685000000,217000000.0,-3468000000,,-3056000000,-3056000000,1635000000.0,1023000000.0,,2950000000.0,19264000000.0,,6423000000.0,25687000000.0,28637000000,640000000.0,350000000.0,2600000000.0,12195000000.0,15529000000.0,18129000000,7553000000.0,,-1400000000.0,10508000000.0,28637000000,-3468000000.0,542000000.0,2850000000.0,240000000.0,,,,,164000000.0,-2358000000.0,,,-2358000000.0,-125000000.0,-489000000.0,1469000000.0,1493000000.0,-675000000,2016-03-31,26.020000457763672,27.5,25.88999938964844,27.440000534057614,24.39702606201172,11418900.0
2016-06-30,2488000000.0,,2488000000.0,-2389000000.0,-1485000000.0,-416000000.0,-484000000.0,99000000.0,-248000000.0,-163000000.0,-149000000,-1596000000.0,-1745000000,182000000.0,-1563000000,,-1570000000,-1570000000,1723000000.0,1167000000.0,,3982000000.0,16815000000.0,,6447000000.0,23262000000.0,27244000000,545000000.0,350000000.0,2929000000.0,12357000000.0,15396000000.0,18325000000,7552000000.0,,-2970000000.0,8919000000.0,27244000000,-1563000000.0,484000000.0,1559000000.0,-161000000.0,,,,,319000000.0,-309000000.0,,,-309000000.0,-33000000.0,160000000.0,,90000000.0,88000000,2016-06-30,36.540000915527344,36.790000915527344,35.81999969482422,36.25,32.285194396972656,6254100.0
2016-09-30,4233000000.0,,4233000000.0,-2387000000.0,-1621000000.0,-355000000.0,-394000000.0,1846000000.0,-287000000.0,-243000000.0,1559000000,-381000000.0,1178000000,-171000000.0,1007000000,,993000000,993000000,2385000000.0,1092000000.0,,4451000000.0,16169000000.0,,6193000000.0,22362000000.0,26813000000,529000000.0,350000000.0,2851000000.0,11004000000.0,13901000000.0,16752000000,7539000000.0,,-1977000000.0,10061000000.0,26813000000,1007000000.0,394000000.0,-786000000.0,146000000.0,,,,,761000000.0,1256000000.0,,,1256000000.0,-32000000.0,-1357000000.0,,-1346000000.0,662000000,2016-09-30,43.54999923706055,44.25,42.88999938964844,44.11000061035156,39.34016036987305,5969800.0
2016-12-31,1457000000.0,-1803000000.0,-346000000.0,-1667000000.0,-2032000000.0,1000000000.0,-676000000.0,-2013000000.0,-562000000.0,-337000000.0,-2575000000,5510000000.0,2935000000,-369000000.0,2566000000,,2577000000,2577000000,1959000000.0,1356000000.0,,3772000000.0,20533000000.0,,4370000000.0,24903000000.0,28675000000,642000000.0,,2616000000.0,10154000000.0,13337000000.0,15953000000,7289000000.0,,-69000000.0,12722000000.0,28675000000,2566000000.0,676000000.0,-2839000000.0,-166000000.0,,,,,237000000.0,836000000.0,,,836000000.0,-31000000.0,-1204000000.0,0.0,-1433000000.0,-426000000,2016-12-30,45.95000076293945,46.65999984741211,45.5099983215332,45.66999816894531,40.782325744628906,2871800.0
2017-03-31,3551000000.0,-457000000.0,3094000000.0,-2668000000.0,-2045000000.0,-95000000.0,-528000000.0,426000000.0,-97000000.0,-128000000.0,329000000,-4000000.0,325000000,-8000000.0,317000000,,303000000,303000000,2119000000.0,1320000000.0,,3775000000.0,16421000000.0,,5938000000.0,22359000000.0,26134000000,638000000.0,,2470000000.0,10381000000.0,12742000000.0,15212000000,7260000000.0,,-1081000000.0,10922000000.0,26134000000,317000000.0,528000000.0,-138000000.0,36000000.0,,,,,743000000.0,-641000000.0,,190000000.0,-451000000.0,-32000000.0,-24000000.0,,-124000000.0,160000000,2017-03-31,41.20000076293945,41.95000076293945,41.06999969482422,41.72000122070313,37.31066513061523,4806900.0
2017-06-30,2165000000.0,-455000000.0,1710000000.0,-1456000000.0,-1030000000.0,-57000000.0,-369000000.0,254000000.0,-69000000.0,-77000000.0,185000000,22000000.0,207000000,5000000.0,212000000,33000000.0,219000000,219000000,2369000000.0,1248000000.0,,4086000000.0,16822000000.0,,5906000000.0,22728000000.0,26814000000,692000000.0,,2532000000.0,10558000000.0,12952000000.0,15484000000,7264000000.0,,-656000000.0,11330000000.0,26814000000,212000000.0,369000000.0,-97000000.0,102000000.0,,,,,586000000.0,-372000000.0,,,-372000000.0,-33000000.0,,,-36000000.0,250000000,2017-06-30,32.27000045776367,32.360000610351555,31.45000076293945,31.96999931335449,28.64365577697754,6659700.0
2017-09-30,1933000000.0,-448000000.0,1485000000.0,-1440000000.0,-1013000000.0,-57000000.0,-370000000.0,45000000.0,-8000000.0,-78000000.0,37000000,170000000.0,207000000,-13000000.0,194000000,18000000.0,193000000,193000000,2781000000.0,1462000000.0,,4622000000.0,17082000000.0,,5855000000.0,22937000000.0,27559000000,797000000.0,20000000.0,2832000000.0,10383000000.0,12793000000.0,15625000000,7260000000.0,,-428000000.0,11934000000.0,27559000000,194000000.0,370000000.0,-51000000.0,-12000000.0,,,,,501000000.0,-193000000.0,,,-193000000.0,-30000000.0,,,-31000000.0,485000000,2017-09-29,36.5099983215332,36.72999954223633,36.13000106811523,36.709999084472656,32.94947052001953,5507900.0
